Work Item Type,Title,Description,Acceptance Criteria,Story Points,Iteration Path,Area Path,Tags
Epic,EP-1 Outlook Support Classification & KB Validation (Azure AI Foundry),"Stateless classification agent (V2 consolidated) plus downstream KB-validation post-processing including the ask_user input-collection flow. Shipped as Azure Functions (Python v1, flat folders); Managed Identity auth only, no keys.",,,,Classification-Agent,Epic;Foundry
Feature,F1 Consolidated Classification Agent,"Single-deployment classification agent (classification_agent_foundry/) with in-process KB search, one endpoint, one config.","Combined single deployment operational with route outlook-classification and request param 'message'.",,Sprint 1,Classification-Agent,Feature
User Story,US-101 Single-deployment agent endpoint,"As the calling application I want one outlook-classification endpoint accepting a 'message' so I can classify without HTTP loopbacks.","Single __init__.py, one route, one config; in-process KB search (no HTTP tool call).<br>AIProjectClient(endpoint, credential, allow_preview=True) -> get_openai_client() -> responses.create(...) pattern; conv_id via conversations.create().<br>Reads output_text and usage.input_tokens/output_tokens.",5,Sprint 1,Classification-Agent,ClassificationV2
User Story,US-102 Agent search loop (Approach B),"As the agent I want to emit status:search plus a query and receive KB candidates, looping until follow_up/resolved/no_match.","Search query is INTERNAL and never surfaced to the user.<br>Loop budget ~6; clean termination on each terminal status.",5,Sprint 1,Classification-Agent,ClassificationV2
User Story,US-103 Anti-hallucination KB id validation,"As a maintainer I want resolved kb_id values validated against the full index so fabricated ids are rejected.","Resolved kb_id validated against the whole index (is_known_kb_id); fabricated ids rejected.",3,Sprint 1,Classification-Agent,AntiHallucination
User Story,US-104 DSET coding standard and structured logging,"As a maintainer I want all Python to follow the DSET standard with structured logging and resilient remote calls.","Header/section banners, full type hints, Pydantic at boundaries, f-strings.<br>Specific-exception try/except -> correlation_id JSON logging -> safe fallback (no leaked exceptions).<br>Exponential-backoff retry + timeouts + cost tracking on all model calls.",3,Sprint 1,Classification-Agent,DSET
User Story,US-105 Unique module names (flat-folder collision guard),"As a maintainer I want unique module names per function folder to prevent sys.modules cross-loading.","No shared module names (e.g. config_loader, schemas) across folders; verified no wrong-module load in shared process.",2,Sprint 1,Classification-Agent,Pitfall
Feature,F2 Base KB Validation Service,"Base non-interactive KB-validation post-processing service (clasification_agent_validation/) with route kb-validation, Blob-sourced manual articles.","kb-validation endpoint returns the base response contract and formats manual steps via GPT-5.",,Sprint 1,KB-Validation,Feature
User Story,US-106 Validation endpoint and response contract,"As the caller I want POST kb-validation with {conv_id?, kb_id?} returning the base validation response.","Response contains conv_id, kb_id, action, validated, steps, reference_link, agent_message.<br>Dictionary maps kb_id -> automate / manual / [automatic, ask_user].<br>validated=false only for not-found; true otherwise.",5,Sprint 1,KB-Validation,Validation
User Story,US-107 Manual KB Blob read and GPT-5 step formatting,"As the service I want to read a manual KB article from Blob and format its steps with a stateless GPT-5 call.","Reads KB article from Blob Storage; stateless GPT-5 formats steps (omit temperature).<br>success=false only on read/format exception; grounding-withhold is success=true.",5,Sprint 1,KB-Validation,Validation
User Story,US-108 User-delegation SAS reference links,"As the service I want MI-based time-limited Blob links via a user-delegation SAS.","Uses get_user_delegation_key + generate_blob_sas(user_delegation_key=...); link is MI-based and time-limited.",3,Sprint 1,KB-Validation,Blob
User Story,US-109 MI roles provisioning (base),"As an operator I want the required Managed Identity roles requested by name for the base validation service.","Azure AI User + Cognitive Services OpenAI User + Storage Blob Data Reader + Storage Blob Delegator documented and requested by name (no keys).",2,Sprint 1,KB-Validation,ManagedIdentity
Feature,F3 Validation plus ask_user,"Interactive validation service (clasification_agent_validation_user_input/) with the ask_user user-input-collection flow and 6 anti-hallucination/security guards.","ask_user flow resolves PowerShell script parameters with a stateless GPT-5 reasoner and enforces all guards.",,Sprint 2,KB-Validation-UserInput,Feature
User Story,US-201 ask_user reasoner and param resolution,"As the service I want a stateless GPT-5 reasoner to decide if input is needed and resolve it to exact PowerShell params.","Reads bundled local .docx (kb_articles/) via python-docx - NOT Blob.<br>Reads Foundry history via conversations.items.list(conversation_id=...).<br>Response adds call_troubleshoot, follow_up_question, user_params, follup_flag, script_params, script_name, success, error.",8,Sprint 2,KB-Validation-UserInput,AskUser
User Story,US-202 Multi-turn follow-up loop and internal loop guard,"As the service I want a stateless multi-turn follow-up loop bounded by an internal guard.","Answer sent in 'message' (blank/omit on first turn); caller sends no counter.<br>Reasoner reports follow_up_rounds; give-up at foundry.max_follow_ups (default 3) -> validated=false, call_troubleshoot=false, success=true.<br>follow_up_rounds=0 on first ask_user turn so guard cannot trip early.",5,Sprint 2,KB-Validation-UserInput,AskUser
